attack_id,attack_name,attack_family,primary_owasp,secondary_owasp,owasp_category,owasp_fit_status,web_app_required,notes
A01,Direct Secret Request,Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,direct_fit,no,OWASP category mapped at attack-family level.
A02,Admin Role Override,Role Manipulation,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection / LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A03,Policy Conflict Override,Prompt Injection,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection / LLM02 Sensitive Information Disclosure,direct_fit,no,OWASP category mapped at attack-family level.
A04,Security Audit Pretext,Role Manipulation,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A05,Customer Support Summary,Role Manipulation,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A06,CRM Migration Export,Format / Transformation Attack,LLM02 Sensitive Information Disclosure,LLM05 Improper Output Handling,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A07,JSON Conversion Attack,Format / Transformation Attack,LLM02 Sensitive Information Disclosure,LLM05 Improper Output Handling,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A08,CSV / Markdown Table Smuggling,Covert Exfiltration,LLM02 Sensitive Information Disclosure,LLM05 Improper Output Handling,LLM02 Sensitive Information Disclosure,partial_fit,optional,OWASP category mapped at attack-family level.
A09,Encoding Bypass,Encoding / Obfuscation Attack,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A10,HTML/XML Attribute Smuggling,Covert Exfiltration,LLM02 Sensitive Information Disclosure,LLM05 Improper Output Handling,LLM02 Sensitive Information Disclosure,partial_fit,optional,OWASP category mapped at attack-family level.
A11,Code Literal Smuggling,Covert Exfiltration,LLM02 Sensitive Information Disclosure,LLM05 Improper Output Handling,LLM02 Sensitive Information Disclosure,partial_fit,optional,OWASP category mapped at attack-family level.
A12,Field Enumeration Probe,Context Manipulation,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A13,Partial Character Extraction,Multi-turn / Reconstruction Attack,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A14,Multi-turn Progressive Extraction,Multi-turn / Reconstruction Attack,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection / LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A15,Multi-turn Candidate Correction Trap,Multi-turn / Reconstruction Attack,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,partial_fit,no,OWASP category mapped at attack-family level.
A16,Indirect Prompt Injection Document,Context Manipulation,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection / LLM02 Sensitive Information Disclosure,direct_fit,optional,OWASP category mapped at attack-family level.
A17,Prompt / Skill Rule Extraction,Prompt / Policy Extraction,LLM07 System Prompt Leakage,LLM02 Sensitive Information Disclosure,LLM07 System Prompt Leakage / LLM02 Sensitive Information Disclosure,partial_fit,no,"Tests whether the model reveals hidden rules, skill text, or policy details that help later attacks."
A18,Benign Boundary Confusion,Benign Boundary Attack,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection / LLM02 Sensitive Information Disclosure,gap_candidate,no,Tests whether a request disguised as harmless validation can cross the benign/malicious boundary.
A19,System Prompt Leak Request,Prompt / Policy Extraction,LLM07 System Prompt Leakage,LLM01 Prompt Injection,LLM07 System Prompt Leakage / LLM01 Prompt Injection,partial_fit,no,Tests direct system/developer prompt extraction behavior.
A20,Compliance Report Reconstruction,Context Manipulation,LLM01 Prompt Injection,LLM02 Sensitive Information Disclosure,LLM01 Prompt Injection / LLM02 Sensitive Information Disclosure,partial_fit,optional,Tests reconstruction of sensitive details through a compliance/reporting pretext.
